datetime,co2_corrected_avg,temp,node_id,co2_ref,tenth_percentile_ref,tenth_percentile,m,b,offset_Tcorrected,offset_fit,co2_corrected_avg_T_drift_applied
2022-09-21 01:00:00-07:00,442.0610327246485,20.918267999999998,276,445.96545926359977,445.01594704238283,432.1306781122283,0.009301216601454347,-9.779089311758849,-14.25641322118048,-10.0384297362776,450.72831816990015
2022-09-21 03:00:00-07:00,440.87060295713684,18.90115085106383,276,445.48075542603465,445.1592189967985,429.7921264716307,0.010530468647071948,-9.797613170300682,-16.606019432656296,-10.0362478605176,449.66792391016594
2022-09-21 04:00:00-07:00,439.1808751460841,19.568302678571428,276,445.44045700934856,444.21417168115914,431.9072828873088,0.010156536304833779,-9.789724340507624,-13.58954596713022,-10.035156922637599,447.93337489544183
2022-09-21 05:00:00-07:00,440.0830662603677,19.626565666666668,276,445.04799877737594,444.72748142744535,433.0346128276692,0.011529051487761772,-9.814513568269863,-12.979344777741517,-10.0340659847576,448.8306560671599
2022-09-21 06:00:00-07:00,433.9003397394831,18.298022608695653,276,444.21417168115914,445.04799877737594,429.90896015888984,0.012027266812720502,-9.821787613002055,-16.33843185873792,-10.0329750468776,442.7339215461089
2022-09-21 11:00:00-07:00,451.73950003857146,26.22986566666667,276,454.60757381729843,437.7265367887733,434.1119052643073,0.01297973877215612,-9.825652801789072,-5.333938809525421,-10.0275203574776,460.0477131109896
2022-09-22 13:00:00-07:00,446.9035810260754,25.9998321875,276,453.1072754716987,437.3290470086177,432.037126215425,0.015853345187343226,-9.815663312544254,-6.996149913477495,-9.999155972597599,455.19850787838817
2022-09-22 14:00:00-07:00,448.60634014428007,26.20060533333333,276,454.772601200218,436.99427922662977,431.0494148193269,0.016211277487153487,-9.832724145254602,-7.662253744901136,-9.9980650347176,456.88701584139943
2022-09-22 15:00:00-07:00,448.5791817387323,23.295492333333332,276,451.0833205737855,438.8877169557498,431.40664139702477,0.016582869922746612,-9.847554988518556,-9.008041429871128,-9.996974096837599,457.0491899644238
2022-09-22 16:00:00-07:00,452.0059076488851,20.065611166666667,276,451.52738866175855,440.8832056231778,428.60124725160085,0.01618631797891084,-9.84092194299738,-13.597212970911869,-9.9958831589576,460.6865362085078
2022-09-22 17:00:00-07:00,454.093097859897,19.570495166666667,276,454.0670060411095,440.5160135735437,429.7554365223723,0.01671128348729248,-9.858205870401681,-12.043377936996421,-9.9947922210776,462.8050891951496
2022-09-22 18:00:00-07:00,462.5810711300789,20.736525,276,461.2009365693523,440.8832056231778,428.82210086719647,0.017298063937779145,-9.877697048681572,-13.420336211925303,-9.9937012831976,471.2155409573325
2022-09-22 19:00:00-07:00,462.71661408525705,22.20288266666667,276,462.3702253577118,441.40633000863306,429.786623755144,0.017925296827386764,-9.898585221927041,-13.075054077348966,-9.9926103453176,471.25387660671475
2022-09-22 20:00:00-07:00,464.4428073424589,19.574636666666667,276,467.5202915725962,440.5160135735437,428.31846532550287,0.018517380817324423,-9.9182414964204,-13.480620599652696,-9.9915194074376,473.1512543982846
